samling_nid,samling_tittel,lenketekst,href,format,maal_nid,maal_type,maal_publisert,finnes
18372,Julekalender 2025 - alle luker med video,Draduellen,https://trivselsleder.no/draduellen,full-adresse,17385,game,ja,ja
18372,Julekalender 2025 - alle luker med video,21 fot,https://trivselsleder.no/21-fot,full-adresse,,finnes_ikke,,nei
18372,Julekalender 2025 - alle luker med video,Klokka 1 minutt,https://trivselsleder.no/klokka-1-minutt,full-adresse,18419,game,ja,ja
18372,Julekalender 2025 - alle luker med video,Tre klapp og spring,https://trivselsleder.no/tre-klapp-og-spring,full-adresse,18433,game,ja,ja
18372,Julekalender 2025 - alle luker med video,Klossen,https://trivselsleder.no/klossen,full-adresse,18434,game,ja,ja
18372,Julekalender 2025 - alle luker med video,"Hi, ha, ho",https://trivselsleder.no/hi-ha-ho,full-adresse,1178,game,ja,ja
18372,Julekalender 2025 - alle luker med video,Sifferdans,https://trivselsleder.no/sifferdans,full-adresse,18436,game,ja,ja
18372,Julekalender 2025 - alle luker med video,Klasseromsoppdrag,https://trivselsleder.no/klasseromsoppdrag,full-adresse,18437,game,ja,ja
18372,Julekalender 2025 - alle luker med video,Gjett ordet,https://trivselsleder.no/gjett-ordet,full-adresse,18438,game,ja,ja
18372,Julekalender 2025 - alle luker med video,Pingvinen,https://trivselsleder.no/pingvinen,full-adresse,18439,game,ja,ja
18372,Julekalender 2025 - alle luker med video,En to tre!,https://trivselsleder.no/en-tre,full-adresse,9662,game,ja,ja
18372,Julekalender 2025 - alle luker med video,Blyantene,https://trivselsleder.no/blyantene,full-adresse,17724,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,TL-DANS,https://trivselsleder.no/tl-dans,full-adresse,,finnes_ikke,,nei
16072,Tipsliste til KRØ 1. og 2. trinn,Bevegelses-memory,https://trivselsleder.no/bevegelsesmemory,full-adresse,1141,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Dansesisten,https://trivselsleder.no/dansesisten,full-adresse,1388,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Blinkstafetten,https://trivselsleder.no/blinkstafetten,full-adresse,1045,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Oppdraget,https://trivselsleder.no/oppdraget,full-adresse,10173,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,"Stein, saks, papir-runden",https://trivselsleder.no/stein-saks-papir-runden-1,full-adresse,13661,game,nei,ja
16072,Tipsliste til KRØ 1. og 2. trinn,"Løve, løvetemmer og ballerinadanser",https://trivselsleder.no/love-lovetemmer-og-ballerinadanser,full-adresse,1050,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Hinderløype i skolegården,https://trivselsleder.no/friidrettshinderloype-i-skolegarden,full-adresse,1424,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Soppball,https://trivselsleder.no/soppball,full-adresse,8858,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Befrierne,https://trivselsleder.no/befrierne,full-adresse,10127,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,"Indiana Jones ""Mini""",https://trivselsleder.no/indiana-jones-mini,full-adresse,13630,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Spretten,https://trivselsleder.no/spretten,full-adresse,10137,atlu,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Den forsvunne diamanten,https://trivselsleder.no/den-forsvunne-diamanten,full-adresse,10129,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Alle mot alle,https://trivselsleder.no/alle-mot-alle-0,full-adresse,13659,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Byggekaos,https://trivselsleder.no/byggekaos,full-adresse,10123,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Atomleken,https://trivselsleder.no/atomleken-0,full-adresse,2921,atlu,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Toget går,https://trivselsleder.no/toget-gar,full-adresse,6088,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Swipe up and down,https://trivselsleder.no/swipe-and-down,full-adresse,6091,game,ja,ja
16072,Tipsliste til KRØ 1. og 2. trinn,Haukene,https://trivselsleder.no/haukene,full-adresse,8856,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,TL-DANS,https://trivselsleder.no/tl-dans,full-adresse,,finnes_ikke,,nei
16073,Tipsliste til KRØ 3. og 4. trinn,Alene hjemme,https://trivselsleder.no/alene-hjemme,full-adresse,6093,game,ja,ja
