tittel,type,filtype,spraak,tilleggsmateriale,hvilken_lek
"Befolkningsfrisbee, poengkort",Aktiv læring,pdf,nb,nei,Befolkningsfrisbee
"Demokrati og maktfordeling, fasit",Aktiv læring,pdf,nb,nei,Demokrati og maktfordeling
"Demokrati og maktfordeling, spørsmålskort",Aktiv læring,pdf,nb,nei,Demokrati og maktfordeling
"Forbrukshistorie, fasit",Aktiv læring,pdf,nb,nei,Forbrukshistorie
"Forbrukshistorie, historiekort",Aktiv læring,pdf,nb,nei,Forbrukshistorie
"Klimastol, fargekort",Aktiv læring,pdf,nb,nei,Klimastol
"Klimastol, fasit",Aktiv læring,pdf,nb,nei,Klimastol
"Klimastol, påstander",Aktiv læring,pdf,nb,nei,Klimastol
"Krigsbingo, bingobrett",Aktiv læring,pdf,nb,nei,Krigsbingo
"Krigsbingo, fasit",Aktiv læring,pdf,nb,nei,Krigsbingo
"Krigsbingo, spørsmålskort",Aktiv læring,pdf,nb,nei,Krigsbingo
"Land og hovedstad, Europa",Aktiv læring,pdf,nb,nei,Land og hovedstad
"Revolusjonelle nøtter, fasit",Aktiv læring,pdf,nb,nei,Revolusjonelle nøtter
"Revolusjonelle nøtter, spørsmålskort",Aktiv læring,pdf,nb,nei,Revolusjonelle nøtter
"Økonomisk bowling, fasit",Aktiv læring,pdf,nb,nei,Økonomisk bowling
"Økonomisk bowling, spørsmålskort",Aktiv læring,pdf,nb,nei,Økonomisk bowling
Picture and word bingo - everyday life,Aktiv læring,pdf,nb | nn | en,nei,Picture and word bingo - Everyday vocabulary
Perform a text,Aktiv læring,pdf,nb,nei,Perform a text
Fire hjørner - Årstider: Ordkort med bilder,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
What is the time?,Aktiv læring,pdf,nb,nei,What is the time?
"Da Vinci-koden, figurer (barneskole)",Aktiv læring,pdf,nb,nei,Da Vinci-koden - geometriske figurer
"Da Vinci-koden, oppgavekort (barneskole)",Aktiv læring,pdf,nb,nei,Da Vinci-koden - geometriske figurer
Finn din make,Aktiv læring,pdf,nb,nei,Finn din make
Hva skal ut? - bildeoppgaver,Aktiv læring,pdf,nb | nn | en,nei,Hva skal ut?
Løvbladstafett,Aktiv læring,pdf,nb,nei,Løvbladstafett
Papirbåt på seiltur,Aktiv læring,pdf,nb,nei,Papirbåt på seiltur
Soppbingo,Aktiv læring,pdf,nb,nei,Soppbingo
Kongens telegram,Aktiv læring,pdf,nb,nei,Kongens telegram - Informasjonsdeling
"Politisk begrepsblink, begreper",Aktiv læring,pdf,nb,nei,Begrepsblink (alle opplegg)
"Politisk begrepsblink, fasit",Aktiv læring,pdf,nb,nei,Begrepsblink (alle opplegg)
Spion vs general,Tilleggsmateriale til leker,pdf,nb,ja,Spion vs General
Memorystafett,Tilleggsmateriale til leker,pdf,nb | nn,ja,Memory-stafett 
"TL-veien, interaktiv",Tilleggsmateriale til leker,pdf,nb | nn,ja,TL-veien
"TL-veien, fasit",Tilleggsmateriale til leker,pdf,nb | nn,ja,TL-veien
Kurshefte 2018 vinter barneskole,Kurshefter,pdf,nb,nei,
A4 beskrivelser 2018 vinter,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Kurshefte TL-Mester 2018 ,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,Tipsliste TL-Mester
A4 beskrivelser TL-Mester 2018 vinter,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
"Inn til midten, utfordringer",Tilleggsmateriale til leker,pdf,nb,ja,Inn til midten
Fire hjørner - Årstider: Kategorier A4 ark,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
"TL-Mester poengskjema, excel",Turneringer og TL-Mester | TL-mester,xlsx,nb | nn,nei,
"TL-Mester puljeskjema, excel",Turneringer og TL-Mester | TL-mester,xlsx,nb | nn,nei,
"TL-Mester plan for gjennomføring, excel",Turneringer og TL-Mester | TL-mester,xlsx,nb | nn,nei,
"Himmelspretten, tegning",Aktiv læring,pdf,nb,nei,Himmelspretten
"Aktiv læring, kurshefte modul 3 barneskole",Aktiv læring | Kurshefter,pdf,nb,nei,
"Aktiv læring, kurshefte modul 2 barneskole",Aktiv læring | Kurshefter,pdf,nb,nei,
"Aktiv læring, kurshefte modul 1 barneskole",Aktiv læring | Kurshefter,pdf,nb,nei,
"Aktiv læring, kurshefte modul 1 ungdomsskole",Aktiv læring | Kurshefter,pdf,nb,nei,
"Aktiv læring, kurshefte modul 2 ungdomsskole",Aktiv læring | Kurshefter,pdf,nb,nei,
Presentasjon Thea Hogstad Kjellesvik TL-seminar 2018,Seminar,pdf,nb,nei,
